,value,object_id,create_time,disk_index
0,0.3133,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/6/2019 17:00:00,0
1,0.2389,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/6/2019 18:00:00,0
2,0.2657,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/6/2019 19:00:00,0
3,0.2126,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/6/2019 20:00:00,0
4,0.2401,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/6/2019 21:00:00,0
5,0.2607,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/6/2019 22:00:00,0
6,0.2363,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/6/2019 23:00:00,0
7,0.2658,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 00:00:00,0
8,0.2339,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 01:00:00,0
9,0.2772,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 02:00:00,0
10,0.2658,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 03:00:00,0
11,0.2661,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 04:00:00,0
12,0.3672,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 05:00:00,0
13,0.4181,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 06:00:00,0
14,0.3023,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 07:00:00,0
15,0.2312,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 08:00:00,0
16,0.2213,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 09:00:00,0
17,0.2863,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 10:00:00,0
18,0.2036,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 11:00:00,0
19,0.2058,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 12:00:00,0
20,0.1868,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 13:00:00,0
21,0.1687,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 14:00:00,0
22,0.1704,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 15:00:00,0
23,0.3521,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 16:00:00,0
24,0.1669,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 17:00:00,0
25,0.18,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 18:00:00,0
26,0.1717,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 19:00:00,0
27,0.2025,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 20:00:00,0
