,value,object_id,create_time,disk_index
0,2262,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 17:00:00,0
1,2249,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 18:00:00,0
2,2276,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 19:00:00,0
3,2301,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 20:00:00,0
4,2286,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 21:00:00,0
5,2352,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 22:00:00,0
6,2407,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 23:00:00,0
7,2384,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 00:00:00,0
8,2306,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 01:00:00,0
9,2525,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 02:00:00,0
10,2329,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 03:00:00,0
11,2331,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 04:00:00,0
12,2358,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 05:00:00,0
13,2472,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 06:00:00,0
14,2591,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 07:00:00,0
15,2591,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 08:00:00,0
16,2626,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 09:00:00,0
17,2775,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 10:00:00,0
18,2541,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 11:00:00,0
19,2574,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 12:00:00,0
20,2631,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 13:00:00,0
21,2632,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 14:00:00,0
22,2677,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 15:00:00,0
23,2711,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 16:00:00,0
24,2635,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 17:00:00,0
25,2614,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 18:00:00,0
26,2596,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 19:00:00,0
27,2657,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 20:00:00,0
28,2705,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 21:00:00,0
29,2754,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 22:00:00,0
30,2802,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 23:00:00,0
31,2642,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 00:00:00,0
